Id,Start,Name,Impact,Currency
924b4f4b-7785-4d63-9d43-fadfd262131c,07/25/2022 07:00:00,FDI - Foreign Direct Investment (YTD) (YoY),MEDIUM,CNY
858f33fa-b355-4087-a8cc-a9cd68581f4c,07/25/2022 08:00:00,IFO – Business Climate,MEDIUM,EUR
3dad1b39-0557-4205-9b60-dc8f023caf8e,07/25/2022 08:00:00,IFO – Current Assessment,MEDIUM,EUR
f8a9a335-ee1c-419b-a239-8a7f8096ef57,07/25/2022 22:24:00,IFO – Expectations,MEDIUM,EUR
1141eb8f-2ec6-480b-b8ee-0dade8dc0cba,07/25/2022 21:55:00,"Chicago Fed National Activity Index ",MEDIUM,USD
5c9fbc7b-f2ac-42a0-8979-a3ba9d75dd2a,07/25/2022 23:50:00,BoJ Monetary Policy Meeting Minutes,HIGH,JPY
e800da6b-61a2-4b2d-b26c-b8a27ac9664e,07/26/2022 13:00:00,Housing Price Index (MoM),MEDIUM,USD
2ec7605f-13ae-4c0c-be7b-35fe10b1653f,07/26/2022 13:00:00,S&P/Case-Shiller Home Price Indices (YoY),MEDIUM,USD
891a28f8-9891-4ad1-8416-eea8a6999815,07/26/2022 14:00:00,Consumer Confidence,MEDIUM,USD
ba9e2451-c67e-47ee-863d-bc484a8a45ad,07/26/2022 14:00:00,New Home Sales (MoM),MEDIUM,USD
2273be2e-a3b1-4ae9-87c3-0a69f3abeaf7,07/27/2022 01:30:00,Consumer Price Index (QoQ),HIGH,AUD
0569201e-e0b2-4672-abce-862b839684e7,07/27/2022 01:30:00,Consumer Price Index (YoY),MEDIUM,AUD
4d0779b8-c6d8-4e51-8a43-c956dacfbdef,07/27/2022 01:30:00,RBA Trimmed Mean CPI (QoQ),HIGH,AUD
d71c1d53-bffd-45dd-901b-64b2f5a16364,07/27/2022 06:00:00,Gfk Consumer Confidence Survey,MEDIUM,EUR
9bf6582f-bf90-43a6-929c-0d51c655a7f6,07/27/2022 08:00:00,ZEW Survey – Expectations,MEDIUM,CHF
c68ef136-d5af-43b7-b30b-db4565d6e408,07/27/2022 09:30:00,10-y Bond Auction,MEDIUM,EUR
8d03f109-9eb7-4bcc-a40c-99beba37f0af,07/27/2022 12:30:00,Durable Goods Orders,HIGH,USD
f29cf398-98ff-4bf5-a63c-c0673fd3d242,07/27/2022 12:30:00,Durable Goods Orders ex Defense,MEDIUM,USD
6d8d8523-6bdd-4c2d-81cc-3d45a22cb8b4,07/27/2022 12:30:00,Durable Goods Orders ex Transportation,MEDIUM,USD
e4b74544-edc0-4ba7-b72a-58bbef2760ab,07/27/2022 12:30:00,Nondefense Capital Goods Orders ex Aircraft,HIGH,USD
add25577-0317-4603-bd72-30702328f86f,07/27/2022 14:00:00,Pending Home Sales (MoM),MEDIUM,USD
8758cc99-0cff-4adc-af12-1e749fbc6fa0,07/27/2022 18:00:00,Fed Interest Rate Decision,HIGH,USD
671994d3-e6f5-4a02-ad5b-1637ba613830,07/27/2022 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
a85d1d5c-286a-490a-a2ec-a08795e4d88f,07/27/2022 18:30:00,FOMC Press Conference,HIGH,USD
9d3af8d3-d9e8-4ab0-9fb8-9150bbeac505,07/28/2022 01:30:00,Retail Sales s.a. (MoM),HIGH,AUD
ae43ee5c-370a-4d7b-b4ef-45f9479eb997,07/28/2022 09:00:00,Business Climate,MEDIUM,EUR
af811f95-212a-4a4d-941d-243025fe5512,07/28/2022 09:00:00,Consumer Confidence,MEDIUM,EUR
0853fdc0-72f5-4874-84a6-3da53888880b,07/28/2022 12:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
dad69a37-89f2-4ee6-a2a2-94a545947c91,07/28/2022 12:30:00,Core Personal Consumption Expenditures (QoQ),MEDIUM,USD
2e51ce2d-ab00-4bbe-85e8-fbeb9ce177a1,07/28/2022 12:30:00,Gross Domestic Product Annualized,HIGH,USD
aa8e6a99-b02f-44d6-a328-93c6157ed436,07/28/2022 12:30:00,Gross Domestic Product Price Index,MEDIUM,USD
24aca162-ee21-4ec0-978a-36c1fd2b9b21,07/28/2022 12:30:00,Initial Jobless Claims,MEDIUM,USD
